"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"at CHI","3 out of 5 stars","A","8.4"
"2","Tyler Loop",BAL,"vs. DET","1 out of 5 stars","B+","8.0"
"3","Cameron Dicker",LAC,"vs. DEN","5 out of 5 stars","B","7.9"
"4","Chris Boswell",PIT,"at NE","1 out of 5 stars","B","7.9"
"5","Matt Prater",BUF,"vs. MIA","5 out of 5 stars","B-","7.8"
"6","Ka'imi Fairbairn",HOU,"at JAC","2 out of 5 stars","C+","7.7"
"7","Chase McLaughlin",TB,"vs. NYJ","5 out of 5 stars","C+","7.7"
"8","Brandon McManus",GB,"at CLE","1 out of 5 stars","C+","7.7"
"9","Cam Little",JAC,"vs. HOU","2 out of 5 stars","C+","7.6"
"10","Harrison Butker",KC,"at NYG","5 out of 5 stars","C+","7.5"
"11","Jake Elliott",PHI,"vs. LAR","5 out of 5 stars","C","7.5"
"12","Jake Bates",DET,"at BAL","1 out of 5 stars","C","7.5"
"13","Parker Romo",ATL,"at CAR","5 out of 5 stars","C","7.5"
"14","Wil Lutz",DEN,"at LAC","2 out of 5 stars","C","7.4"
"15","Chad Ryland",ARI,"at SF","2 out of 5 stars","C","7.4"
"16","Spencer Shrader",IND,"at TEN","4 out of 5 stars","C","7.3"
"17","Will Reichard",MIN,"vs. CIN","5 out of 5 stars","C","7.3"
"18","Matt Gay",WAS,"vs. LV","4 out of 5 stars","C-","7.3"
"19","Jason Myers",SEA,"vs. NO","1 out of 5 stars","C-","7.3"
"20","Evan McPherson",CIN,"at MIN","5 out of 5 stars","C-","7.1"
"21","Daniel Carlson",LV,"at WAS","4 out of 5 stars","D+","7.1"
"22","Eddy Pineiro",SF,"vs. ARI","4 out of 5 stars","D+","7.1"
"23","Joshua Karty",LAR,"at PHI","1 out of 5 stars","D","7.0"
"24","Cairo Santos",CHI,"vs. DAL","3 out of 5 stars","D","7.0"
"25","Joey Slye",TEN,"vs. IND","1 out of 5 stars","D","7.0"
"26","Andy Borregales",NE,"vs. PIT","1 out of 5 stars","D","7.0"
"27","Graham Gano",NYG,"vs. KC","1 out of 5 stars","D-","7.0"
"28","Riley Patterson",MIA,"at BUF","1 out of 5 stars","D-","6.9"
"29","Blake Grupe",NO,"at SEA","1 out of 5 stars","F","6.8"
"30","Ryan Fitzgerald",CAR,"vs. ATL","5 out of 5 stars","F","6.8"
"31","Nick Folk",NYJ,"at TB","2 out of 5 stars","F","6.5"
"32","Andre Szmyt",CLE,"vs. GB","1 out of 5 stars","F","6.3"
"33","Andrew Jacas",SF,"vs. ARI","4 out of 5 stars","F","0.0"
"34","Andrew Wellock",CAR,"vs. ATL","5 out of 5 stars","F","0.0"
